Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2612,12.34,5.32,0.00,4.93,0.15,0.46,0.29,0.79,1.25,1.15,1.41,0.92,2.67,-0.12,0.00,0.00,0.88,1.10,1.15,-0.04,-0.41,3.25,1.18,1.77,1.68,1.55,1.90,0.10,0.04,0.17,-0.24,-0.22,0.27,-0.14,0.25,0.67,0.72,4.93,-0.06,7.82,0.46,-0.02,0.15,0.20,12.34,
frc5234,15.79,17.24,0.00,2.87,0.59,1.40,1.81,-0.35,0.88,1.16,0.55,1.09,5.33,-0.09,0.00,0.00,0.87,0.72,0.79,0.48,2.27,2.53,1.41,1.36,1.75,1.55,2.80,-0.36,0.90,0.06,1.12,-0.22,0.45,0.13,0.36,0.67,0.24,2.87,0.03,10.65,0.65,-0.05,0.52,-0.04,15.79,
frc7491,25.24,13.92,0.00,6.01,2.38,2.89,2.60,1.23,1.78,2.73,2.92,2.67,13.81,-0.33,0.00,0.00,0.53,1.40,0.39,0.11,0.03,2.46,-0.27,1.93,1.69,1.94,2.93,0.41,1.71,0.12,0.61,0.27,-0.03,-0.02,-0.11,0.67,1.10,6.01,-0.07,19.20,-0.11,0.19,-0.07,0.00,25.24,
frc6597,7.28,14.56,0.00,3.57,1.00,1.32,1.28,-0.01,0.52,1.13,1.33,0.67,2.94,-0.07,0.00,0.00,-0.05,0.34,-0.09,0.21,-1.38,-0.10,-4.22,1.66,1.50,1.39,2.24,-0.14,-0.35,0.23,-0.27,0.32,0.42,0.18,0.41,0.67,-0.22,3.57,-0.08,5.09,0.68,-0.03,0.69,-0.05,7.28,
frc7772,1.65,11.85,0.00,0.58,-0.38,-0.44,-0.45,0.20,-0.24,0.98,0.88,0.57,-0.41,-0.06,0.00,0.00,0.80,0.73,0.37,-0.06,-1.07,1.97,1.96,1.13,1.22,0.52,0.58,0.51,-0.24,0.26,0.08,-0.08,0.21,-0.10,0.06,0.67,-0.49,0.58,0.10,2.14,-0.12,-0.05,-0.11,-0.06,1.65,
frc5114,21.65,15.34,0.00,5.41,2.42,2.57,2.38,-0.08,0.45,2.75,2.29,2.15,11.05,-0.43,0.00,0.00,0.12,0.28,1.85,0.37,-0.73,2.13,3.20,1.64,1.74,1.42,3.78,0.84,0.26,1.08,0.25,0.40,0.46,0.11,0.02,0.67,0.42,5.41,0.10,16.96,0.08,0.15,0.27,-0.04,21.65,
frc6102,4.81,19.61,0.00,0.47,0.22,0.43,0.50,1.28,0.26,0.52,0.25,0.54,1.25,-0.56,0.00,0.00,0.96,-0.41,0.82,1.01,0.54,1.23,-0.47,1.04,0.36,1.41,1.32,0.13,0.18,-0.30,0.30,-0.04,-0.22,0.01,-0.00,0.67,0.08,0.47,-0.04,3.80,0.59,-0.06,0.31,0.12,4.81,
frc6019,12.30,13.92,0.00,2.45,1.45,0.50,0.98,1.19,0.20,1.30,0.77,0.63,2.81,-0.61,0.00,0.00,1.55,0.65,-0.08,0.51,3.62,2.03,-1.74,0.67,1.44,1.80,1.40,-0.05,-0.03,0.17,0.61,0.02,0.01,0.18,-0.13,0.67,-0.09,2.45,-0.04,6.23,0.04,-0.05,0.03,-0.04,12.30,
frc5527,3.87,18.49,0.00,1.94,1.22,1.25,1.28,-0.24,0.05,0.95,1.44,1.18,2.40,0.10,0.00,0.00,0.76,-1.05,-0.96,0.79,1.99,-1.50,-5.57,0.93,1.03,1.00,-0.96,-0.58,-0.27,-0.25,-0.54,-0.11,-0.05,0.06,-0.16,0.67,-0.33,1.94,-0.02,-0.05,-0.16,0.18,-0.08,0.01,3.87,
frc5641,19.51,15.58,0.00,2.60,-0.06,0.45,0.71,0.89,0.66,1.27,1.70,1.35,1.65,-0.35,0.00,0.00,3.20,4.43,2.21,0.93,3.50,9.74,20.38,1.76,1.54,1.45,2.03,0.66,-0.03,0.49,-0.31,0.02,0.27,-0.12,0.13,0.67,1.43,2.60,-0.03,13.42,0.14,-0.01,0.18,0.02,19.51,
frc5086,14.12,24.52,0.00,3.63,1.40,1.29,1.79,-0.18,-0.33,1.42,1.52,1.39,3.99,-0.16,0.00,0.00,0.63,1.04,0.45,2.63,4.16,2.25,0.01,1.64,1.73,2.03,0.09,-0.15,0.22,-0.04,-0.10,-0.14,0.13,-0.08,-0.08,0.67,0.37,3.63,-0.00,6.33,-0.06,0.03,-0.00,-0.01,14.12,
frc6091,9.43,14.50,0.00,2.61,0.73,1.85,1.54,0.45,0.59,1.14,1.38,1.25,3.28,-0.53,0.00,0.00,1.62,-0.56,-0.54,1.26,1.53,0.31,0.74,1.08,1.63,1.70,1.70,0.14,-0.49,0.26,-0.25,0.27,-0.05,0.07,0.10,0.67,0.11,2.61,0.06,5.29,-0.04,0.17,0.16,0.13,9.43,
frc5612,20.41,18.15,0.00,3.04,2.39,1.74,1.92,1.04,-0.65,2.42,1.85,2.49,10.14,-0.25,0.00,0.00,0.66,1.86,0.35,0.64,2.96,2.95,0.31,1.77,1.28,1.69,1.33,0.59,1.01,0.53,1.26,-0.19,-0.28,-0.04,0.03,0.67,0.60,3.04,0.14,14.41,-0.21,-0.03,-0.12,-0.00,20.41,
frc5150,11.99,10.93,0.00,6.39,0.24,0.58,0.86,0.45,1.01,1.13,0.86,0.49,1.96,-0.46,0.00,0.00,2.50,-0.12,0.30,-0.59,-1.59,2.85,0.04,2.08,1.76,1.90,2.37,0.28,-0.09,0.14,0.07,0.30,0.04,0.00,0.09,0.67,0.59,6.39,0.19,7.18,-0.06,0.13,0.12,0.17,11.99,
frc6548,9.87,18.57,0.00,3.87,0.28,0.76,0.95,0.41,0.79,0.14,0.61,0.80,0.77,2.32,0.00,0.00,0.69,2.02,0.94,1.37,2.08,3.58,1.13,1.19,1.82,1.92,-0.42,-0.24,-0.29,0.07,-0.38,-0.30,-0.21,0.25,0.04,0.67,0.59,3.87,-0.05,3.93,-0.16,-0.04,-0.15,-0.05,9.87,
frc468,7.85,10.59,0.00,3.53,0.98,1.34,0.60,0.53,1.37,-0.07,0.46,-0.26,1.77,-0.42,0.00,0.00,0.68,0.67,2.07,-0.25,-2.42,3.40,0.44,1.48,1.33,1.16,1.56,-0.09,-0.41,-0.13,0.15,0.15,0.17,0.34,0.03,0.67,0.15,3.53,-0.05,6.74,0.04,-0.04,0.06,-0.05,7.85,
frc70,4.62,9.76,0.00,2.58,0.86,1.03,1.34,0.32,0.64,0.19,0.32,0.45,0.18,-0.37,0.00,0.00,0.38,0.94,0.13,-0.40,0.01,1.46,1.08,1.24,1.71,2.04,0.39,0.04,0.09,-0.23,0.25,-0.13,-0.18,0.02,-0.10,0.67,0.17,2.58,0.08,2.03,-0.08,-0.03,-0.04,0.02,4.62,
frc6086,19.33,17.34,0.00,5.07,1.23,2.22,2.28,0.54,0.91,1.12,1.54,0.56,5.01,-0.13,0.00,0.00,0.99,3.17,1.60,0.31,2.03,5.87,6.92,1.89,1.78,1.40,1.36,-0.12,-0.68,0.58,-0.31,0.23,-0.06,0.46,-0.04,0.67,0.54,5.07,0.03,12.24,0.29,-0.06,0.12,-0.06,19.33,
frc2145,19.04,12.06,0.00,3.49,2.18,1.75,1.50,-0.26,0.08,2.40,1.83,1.99,9.90,-0.37,0.00,0.00,1.70,0.39,2.24,-0.15,0.81,4.44,4.20,1.80,1.83,1.35,0.41,-0.30,1.19,-0.10,1.74,-0.09,0.66,-0.24,0.60,0.67,0.77,3.49,0.23,14.74,-0.15,-0.05,-0.09,0.01,19.04,
frc27,30.42,8.69,0.00,2.76,1.42,1.97,2.19,0.14,1.69,1.77,1.96,2.44,9.74,-0.39,0.00,0.00,4.22,3.68,4.23,-0.10,2.28,12.31,25.79,1.67,2.05,1.48,3.34,1.04,0.19,1.00,0.40,0.38,0.41,0.41,0.44,0.67,1.85,2.76,0.00,25.39,0.17,-0.02,0.07,-0.00,30.42,
frc3542,23.47,12.02,0.00,2.67,2.35,2.13,2.44,3.59,1.63,2.42,2.75,2.73,15.98,-0.03,0.00,0.00,0.26,1.68,0.51,-0.19,-1.63,2.28,2.26,1.36,1.06,1.78,4.18,1.45,1.74,0.93,1.08,0.29,0.00,-0.12,-0.24,0.67,0.94,2.67,-0.02,22.43,0.03,-0.01,-0.05,-0.04,23.47,
frc245,24.40,12.71,0.00,5.85,2.25,2.83,2.43,1.57,1.41,1.54,1.99,0.91,9.22,0.07,0.00,0.00,0.64,0.34,0.54,-0.17,3.18,1.33,0.43,1.81,0.88,1.69,4.82,1.05,0.26,0.55,-0.04,0.41,-0.07,0.35,0.11,0.67,0.54,5.85,-0.04,15.37,0.31,0.05,-0.10,-0.03,24.40,
frc6610,3.82,16.58,0.00,3.81,1.01,1.25,0.65,0.33,-1.11,1.26,0.51,0.37,1.85,-0.16,0.00,0.00,-0.01,0.15,0.98,0.49,-1.38,0.69,-2.29,1.39,1.30,1.37,-1.14,0.06,-0.06,0.17,-0.46,-0.17,0.04,-0.19,-0.08,0.67,-0.48,3.81,0.12,1.40,-0.13,-0.01,-0.05,0.00,3.82,
frc5697,10.64,17.19,0.00,2.42,0.51,1.00,0.31,-0.34,0.60,0.55,0.70,0.59,1.01,2.44,0.00,0.00,0.67,0.45,0.73,0.49,3.99,1.88,0.73,1.89,1.22,0.90,1.35,-0.14,0.17,0.23,0.32,0.14,0.22,-0.16,0.05,0.67,0.41,2.42,-0.05,4.23,-0.07,0.15,-0.18,0.13,10.64,
frc5562,13.21,9.62,0.00,5.70,1.53,0.78,1.32,0.04,0.36,1.08,1.30,0.46,3.08,-0.52,0.00,0.00,0.07,2.03,0.97,-0.01,0.94,3.14,-2.14,1.52,1.43,2.07,0.35,-0.10,0.10,-0.47,0.74,0.19,0.02,-0.03,-0.01,0.67,0.05,5.70,0.20,6.57,0.06,-0.08,-0.07,-0.09,13.21,
frc5561,19.53,12.67,0.00,5.31,1.17,0.61,1.24,2.33,-0.36,1.05,1.20,0.64,2.16,-0.44,0.00,0.00,3.32,3.97,2.31,-0.07,-0.19,9.47,16.54,1.80,0.98,2.07,2.78,-0.56,0.27,-0.45,0.23,0.15,0.67,-0.13,0.67,0.67,1.09,5.31,0.07,14.41,0.04,-0.05,-0.08,-0.05,19.53,
frc5774,3.48,8.16,0.00,2.85,0.24,0.63,1.12,-0.14,-0.31,0.40,0.61,0.71,0.50,-0.05,0.00,0.00,-0.06,0.99,0.45,-0.17,-1.19,1.39,-1.74,1.01,1.60,1.09,-0.07,-0.08,0.52,-0.44,0.43,-0.19,-0.06,0.02,-0.08,0.67,0.05,2.85,-0.09,1.83,-0.02,-0.06,-0.05,-0.06,3.48,
frc7501,15.71,10.52,0.00,3.30,2.34,0.99,0.47,1.68,2.34,0.59,-0.56,0.78,5.16,2.32,0.00,0.00,0.50,1.98,1.15,-0.34,0.31,3.35,-3.12,1.76,1.28,1.85,3.60,0.23,0.68,-0.24,0.04,0.01,-0.07,0.01,-0.23,0.67,0.45,3.30,-0.00,12.10,-0.06,0.11,-0.07,-0.06,15.71,
frc6595,11.17,13.58,0.00,4.69,1.00,0.58,0.95,1.60,1.49,0.50,-0.43,-0.19,1.53,-0.85,0.00,0.00,1.56,1.19,0.68,0.67,-1.70,3.54,-0.30,1.78,2.00,1.21,3.11,0.13,0.06,0.53,0.02,0.17,0.00,-0.18,0.17,0.67,-0.08,4.69,0.13,8.18,-0.04,-0.01,-0.12,0.16,11.17,
frc4994,14.03,13.52,0.00,3.42,0.51,0.78,1.11,0.56,0.62,1.80,2.00,1.41,4.72,0.35,0.00,0.00,0.40,1.72,0.24,-0.39,4.57,2.47,0.54,1.27,1.98,1.64,-1.16,-0.02,-0.26,-0.00,-0.13,-0.33,-0.27,-0.10,-0.16,0.67,0.30,3.42,0.12,6.04,-0.13,-0.08,-0.11,-0.04,14.03,
