Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3996,21.96,14.10,0.00,4.12,1.32,1.04,1.27,1.13,0.56,0.41,1.21,1.28,7.41,4.25,1.52,2.72,1.29,2.11,3.32,0.01,-0.04,6.77,13.18,1.92,1.35,1.81,3.70,0.08,0.15,0.03,0.06,0.50,1.06,0.54,1.16,0.67,0.67,0.67,0.67,0.67,0.77,1.54,2.02,1.10,4.12,-0.02,17.88,0.55,0.48,0.30,1.08,21.96,
frc7590,11.80,18.88,0.00,2.91,0.69,0.71,1.00,1.18,-0.07,0.31,0.61,0.57,0.74,-0.99,-1.22,0.24,1.68,3.18,1.37,0.25,0.39,6.26,4.76,1.86,1.54,1.59,1.50,0.08,-0.20,-0.51,-0.18,0.06,-0.10,0.13,0.16,0.67,0.67,0.67,0.67,0.67,0.52,1.03,1.66,0.17,2.91,-0.00,8.50,0.45,-0.06,0.27,-0.11,11.80,
frc3386,26.40,11.91,0.00,3.98,1.14,0.94,1.18,3.02,2.17,1.27,0.90,1.52,10.58,-1.11,-0.81,-0.30,1.98,2.00,0.44,-0.08,1.08,4.23,5.30,1.84,1.06,0.31,6.53,2.66,1.19,3.05,1.07,0.16,-0.11,0.33,0.04,0.67,0.67,0.67,0.67,0.67,2.25,2.02,1.14,1.00,3.98,-0.05,21.35,-0.08,-0.06,-0.21,-0.04,26.40,
frc5659,19.86,17.21,0.00,5.96,1.83,2.19,1.96,0.52,1.29,2.34,2.31,2.15,8.58,-1.62,-1.04,-0.58,1.89,4.32,-0.25,0.21,-0.98,5.99,9.80,1.18,1.55,1.90,0.31,-0.18,-0.07,0.31,-0.26,-0.25,0.20,-0.56,0.28,0.67,0.67,0.67,0.67,0.67,2.29,2.10,1.96,0.93,5.96,0.24,14.88,-0.45,-0.15,-0.36,0.01,19.86,
frc4955,11.71,15.80,0.00,3.43,0.66,1.04,0.96,0.30,-0.02,0.99,1.17,0.89,1.87,-1.43,-1.22,-0.21,0.06,1.06,0.82,0.14,2.46,1.72,-1.12,1.93,1.31,1.85,2.23,0.38,0.48,0.80,0.29,-0.38,-0.03,0.04,0.18,0.67,0.67,0.67,0.67,0.67,0.90,0.70,1.43,0.11,3.43,-0.10,5.83,-0.06,0.08,0.04,-0.00,11.71,
frc7251,27.78,18.91,0.00,6.57,1.75,2.13,1.84,1.89,1.30,2.49,1.99,1.80,9.83,-1.28,-1.43,0.14,1.42,2.83,2.65,0.75,0.16,6.96,10.37,1.70,1.89,1.41,4.27,0.84,0.66,0.91,1.26,-0.39,0.09,0.04,0.40,0.67,0.67,0.67,0.67,0.67,2.03,1.80,2.48,0.73,6.57,0.02,21.05,-0.22,0.12,-0.37,0.07,27.78,
frc3985,18.14,16.32,0.00,2.02,2.36,1.96,1.51,1.06,0.57,2.16,2.31,2.45,11.96,2.44,2.48,-0.04,0.09,-0.48,2.01,-0.40,0.96,1.67,3.55,1.72,1.97,1.11,1.53,0.72,-0.54,1.19,-0.50,0.43,-0.10,0.90,-0.15,0.67,0.67,0.67,0.67,0.67,1.44,0.74,0.43,0.76,2.02,0.40,15.16,0.77,-0.07,0.25,-0.09,18.14,
frc5179,16.97,16.70,0.00,2.98,2.23,1.75,1.35,1.11,1.69,1.68,0.42,0.96,5.45,-0.67,-0.52,-0.15,0.45,1.49,2.94,0.18,1.36,5.01,9.78,1.72,1.35,1.61,2.18,0.40,0.45,-0.33,0.03,0.26,-0.09,-0.05,-0.07,0.67,0.67,0.67,0.67,0.67,1.12,1.24,0.98,0.77,2.98,0.02,12.64,0.24,-0.12,-0.01,-0.13,16.97,
frc296,16.01,14.74,0.00,3.33,0.80,1.29,1.58,1.11,2.51,1.67,1.95,1.43,6.09,-0.62,-0.69,0.07,2.18,1.61,0.93,-0.04,-1.17,4.84,3.46,1.74,1.34,1.35,2.92,0.18,0.60,-0.22,0.36,0.02,-0.09,-0.11,0.13,0.67,0.67,0.67,0.67,0.67,1.74,0.97,0.88,0.56,3.33,0.04,13.85,-0.33,-0.03,-0.05,-0.05,16.01,
frc5618,30.30,10.22,0.00,4.80,1.04,1.65,1.56,1.77,1.33,1.73,1.99,1.96,10.27,-0.17,0.42,-0.59,4.25,2.48,4.31,-0.23,-0.33,11.07,21.77,1.70,1.44,1.68,4.48,1.02,1.31,0.66,0.87,0.68,-0.07,0.60,-0.27,0.67,0.67,0.67,0.67,0.67,2.08,1.91,1.70,1.52,4.80,-0.03,25.83,1.04,-0.10,0.31,-0.15,30.30,
frc3988,11.41,15.12,0.00,3.60,2.02,1.59,1.46,0.74,1.65,1.98,1.02,1.39,7.11,1.63,1.73,-0.10,-0.05,-0.03,-0.24,0.21,-0.42,-0.21,-2.44,1.67,1.90,1.50,1.34,-0.05,-0.14,0.27,-0.36,0.03,0.42,0.49,0.36,0.67,0.67,0.67,0.67,0.67,1.18,1.12,1.35,0.25,3.60,0.01,8.23,0.11,-0.06,0.15,-0.07,11.41,
frc3510,2.76,21.38,0.00,0.07,0.35,-0.57,0.22,-0.33,0.27,0.87,0.77,0.34,-1.95,2.12,-0.55,2.67,-0.14,-0.47,1.56,0.18,2.79,0.69,-1.77,0.74,0.21,0.24,1.16,-0.21,0.03,-0.10,0.31,-0.21,0.22,-0.08,0.33,0.67,0.67,0.67,0.67,0.67,0.78,0.20,1.10,-0.25,0.07,-0.09,-0.10,-0.17,0.30,-0.05,0.21,2.76,
frc3975,10.39,18.71,0.00,2.98,1.63,1.32,1.85,0.21,0.79,0.84,1.29,1.68,4.50,-0.22,-0.11,-0.11,2.58,0.86,0.22,-0.16,-0.87,3.43,2.53,1.46,1.35,1.96,0.35,-0.08,-0.01,-0.47,0.08,-0.15,-0.03,0.14,-0.19,0.67,0.67,0.67,0.67,0.67,1.50,0.98,0.50,0.06,2.98,-0.03,8.28,-0.12,-0.12,-0.01,-0.19,10.39,
frc6622,6.09,27.33,0.00,2.25,0.77,1.05,0.71,-0.82,-0.77,1.04,1.13,0.31,1.16,-0.44,-0.25,-0.19,1.41,-1.10,1.21,0.56,1.52,1.57,1.37,1.18,1.47,1.40,-0.42,-0.09,0.49,0.51,0.01,0.30,-0.17,0.27,-0.14,0.67,0.67,0.67,0.67,0.67,0.80,1.14,0.93,-0.50,2.25,-0.02,2.32,0.24,-0.19,0.13,-0.21,6.09,
frc3550,19.07,10.42,0.00,5.56,1.67,0.71,0.58,1.02,1.40,1.26,1.16,1.27,4.56,-0.56,-0.65,0.09,0.94,0.95,2.67,-0.12,-0.24,4.67,1.77,1.29,2.08,1.82,4.53,1.12,0.28,0.64,0.74,0.13,-0.09,0.02,-0.15,0.67,0.67,0.67,0.67,0.67,1.71,1.53,2.65,0.60,5.56,-0.08,13.76,-0.17,-0.09,-0.05,-0.08,19.07,
