Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6599,13.08,19.35,0.00,5.79,1.46,1.38,1.21,1.42,0.20,0.96,1.20,0.61,3.00,-0.74,-0.38,0.00,2.11,0.50,1.28,-0.01,-0.22,3.89,2.29,1.78,1.71,1.76,0.64,-0.26,-0.07,-0.03,-0.14,-0.03,-0.05,-0.16,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.89,0.09,5.79,-0.01,7.52,-0.09,-0.02,0.07,-0.04,13.08,
frc5213,12.58,23.06,0.00,3.09,1.11,1.00,0.99,1.00,1.11,1.01,0.17,0.63,1.58,-0.14,0.05,0.00,-0.78,4.11,0.87,0.43,0.39,4.30,5.33,1.30,1.73,1.73,3.22,0.19,-0.13,0.12,-0.22,0.62,0.26,0.48,0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.27,0.07,3.09,0.07,9.10,0.34,-0.04,0.18,-0.05,12.58,
frc6087,17.50,10.63,0.00,2.92,2.28,2.20,2.14,-0.40,0.23,1.42,1.52,1.33,6.85,-0.74,-0.54,0.00,4.55,1.99,2.75,-0.09,-0.88,9.33,16.92,1.76,1.75,1.61,-0.73,0.22,0.14,0.00,-0.18,-0.14,-0.17,-0.16,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.72,0.71,0.95,2.92,0.07,15.46,-0.10,-0.04,0.07,-0.08,17.50,
frc5086,18.57,19.01,0.00,4.04,1.74,2.37,2.10,0.83,0.61,1.75,1.48,1.90,7.91,0.37,-0.00,0.00,1.07,2.97,0.52,-0.16,0.32,4.58,4.09,1.74,1.74,1.59,1.72,-0.30,0.16,0.44,0.50,-0.06,0.14,-0.02,0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.20,0.45,4.04,0.05,14.21,-0.02,0.02,-0.03,0.06,18.57,
frc6075,3.84,20.52,0.00,3.74,1.43,1.16,2.11,-0.72,-0.24,0.71,0.60,0.80,1.90,-0.05,0.13,0.00,0.38,-0.22,-0.79,0.57,0.07,-0.63,-2.12,1.77,1.68,1.50,-1.24,-0.25,0.11,-0.51,-0.10,0.05,-0.12,0.11,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.51,-0.10,3.74,-0.03,0.03,-0.02,-0.07,-0.01,-0.07,3.84,
frc5560,21.27,14.06,0.00,5.87,0.81,1.53,1.16,0.09,-0.31,2.03,1.94,1.53,5.12,-0.40,-0.51,0.00,4.46,2.76,2.80,-0.25,0.36,10.05,17.37,1.82,1.74,1.75,-0.13,-0.55,0.02,-0.45,0.44,-0.17,0.18,-0.23,0.39,0.67,0.67,0.67,0.67,0.67,0.67,2.41,1.28,1.20,5.87,-0.02,15.04,-0.11,0.16,0.06,0.38,21.27,
frc6552,13.85,21.72,0.00,2.80,1.34,0.93,1.45,0.84,0.12,1.86,1.81,2.20,6.65,-0.64,-0.19,0.00,-0.40,1.26,0.89,0.39,1.09,1.80,-3.12,1.72,1.70,1.31,1.51,0.93,-0.04,0.99,0.13,0.07,-0.06,0.05,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.00,-0.26,2.80,-0.02,9.96,-0.00,-0.02,-0.07,-0.10,13.85,
frc2246,10.39,13.60,0.00,5.66,0.65,1.28,1.66,0.24,-0.35,1.77,1.57,1.27,3.78,0.20,0.08,0.00,1.27,0.33,0.50,0.52,-0.88,2.10,0.21,1.72,1.74,1.76,-0.27,-0.26,0.04,-0.08,0.19,-0.25,0.13,-0.05,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.61,-0.21,5.66,-0.04,5.61,-0.04,-0.01,-0.03,-0.01,10.39,
frc6122,25.26,14.75,0.00,5.51,2.32,1.58,1.92,1.49,1.00,2.43,1.56,1.63,9.40,-0.54,-0.55,0.00,2.35,3.67,2.76,-0.19,-0.74,8.80,17.03,1.36,1.70,1.76,2.28,-0.49,0.95,0.03,0.92,0.14,0.02,0.08,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.27,1.38,1.19,5.51,0.06,20.48,-0.12,0.13,0.06,0.08,25.26,
frc3618,16.90,17.94,0.00,4.83,1.79,1.89,1.26,2.00,2.02,1.56,1.32,0.86,7.01,-0.22,0.18,0.00,0.48,2.24,-0.49,0.08,2.12,2.27,0.79,1.73,1.72,1.30,0.67,-0.45,0.27,-0.37,-0.47,0.07,-0.04,-0.03,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.48,2.32,0.09,4.83,-0.02,9.95,-0.00,-0.01,-0.01,-0.00,16.90,
frc6112,15.82,15.48,0.00,3.17,0.46,1.39,1.83,1.53,1.87,2.39,2.58,1.99,8.22,2.07,-0.47,0.00,3.03,-0.51,-0.71,-0.08,-0.37,1.81,1.33,1.82,1.73,1.56,2.98,0.28,0.79,-0.38,0.63,-0.10,0.15,-0.31,0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.92,0.61,3.17,-0.02,13.01,-0.12,-0.02,-0.11,0.03,15.82,
frc7808,12.71,18.92,0.00,2.48,0.81,0.96,1.18,-0.13,0.89,1.30,1.78,1.41,4.72,0.13,0.34,0.00,0.50,-0.15,1.96,-0.17,1.20,2.35,-2.55,1.61,1.74,1.60,1.97,0.53,1.01,0.25,0.11,0.26,0.45,-0.09,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.03,-0.02,2.48,0.04,9.04,0.02,-0.01,0.02,0.03,12.71,
frc7155,12.54,18.40,0.00,3.08,1.40,1.44,1.34,0.38,0.72,1.26,0.70,0.79,2.93,-0.28,-0.11,0.00,-0.25,1.97,2.33,-0.21,-0.09,4.09,5.77,1.42,1.62,1.40,2.54,0.01,-0.05,0.56,0.13,-0.05,0.44,0.78,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.61,2.15,0.55,3.08,-0.04,9.56,-0.08,0.14,-0.04,-0.07,12.54,
frc7861,15.99,12.40,0.00,4.51,1.48,1.04,1.59,1.21,2.10,1.57,1.43,1.29,6.07,-0.38,-0.25,0.00,1.72,0.13,-0.19,-0.22,-0.54,1.70,0.36,1.65,1.31,1.78,4.26,0.44,1.13,0.45,0.50,-0.08,0.06,-0.16,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.85,0.91,0.82,4.51,-0.03,12.02,-0.07,-0.04,-0.04,0.14,15.99,
frc5183,12.50,14.46,0.00,3.81,1.13,1.66,1.87,0.62,0.09,1.35,1.48,1.77,4.80,-0.06,-0.15,0.00,0.25,1.03,2.18,-0.00,0.61,2.96,-2.05,1.63,1.31,1.42,0.31,-0.16,-0.37,-0.26,-0.20,-0.02,-0.07,-0.06,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.85,-0.21,3.81,0.05,8.07,0.15,-0.01,-0.06,-0.03,12.50,
frc7208,11.64,16.06,0.00,5.58,0.54,1.46,1.34,-0.64,0.76,1.83,1.82,2.05,4.81,0.22,0.12,0.00,0.38,1.11,-0.83,0.02,0.39,0.69,0.41,1.72,1.74,1.58,0.17,-0.31,-0.26,0.05,0.44,-0.06,0.03,0.05,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.68,0.25,5.58,-0.03,5.67,0.01,-0.02,-0.00,0.02,11.64,
frc4398,8.72,16.17,0.00,4.78,0.34,1.02,1.05,0.03,1.03,1.17,0.94,1.42,1.90,0.44,0.36,0.00,-0.67,1.98,0.50,-0.02,0.10,1.80,-0.56,1.74,1.63,1.58,0.14,-0.25,-0.18,-0.39,-0.12,-0.02,-0.06,0.16,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.58,2.21,-0.28,4.78,-0.04,3.84,0.01,-0.01,0.03,-0.03,8.72,
frc7160,28.60,10.07,0.00,5.28,1.83,2.20,1.89,2.40,3.33,2.14,1.89,2.12,12.63,-1.02,-0.54,0.00,2.31,2.07,2.40,-0.16,-0.16,6.78,4.90,1.31,1.75,1.79,4.07,0.39,0.97,0.50,1.38,-0.13,0.01,0.01,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.81,1.20,5.28,0.00,23.48,-0.06,0.14,-0.09,-0.08,28.60,
frc5504,6.87,19.36,0.00,3.69,0.55,1.36,1.46,-0.78,0.48,0.90,0.81,0.45,0.55,-0.00,0.04,0.00,0.47,0.63,0.70,0.41,1.15,1.88,1.19,1.75,1.74,1.59,-0.41,-0.43,0.01,-0.09,-0.20,-0.13,-0.05,0.11,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.40,0.10,3.69,-0.04,2.03,0.02,-0.04,0.00,-0.07,6.87,
frc1711,18.13,18.72,0.00,2.59,1.20,1.61,1.47,1.88,1.69,1.54,1.64,2.00,7.84,-0.62,-0.29,0.00,1.28,1.58,2.35,0.34,1.68,5.24,3.40,1.72,1.70,1.56,0.78,0.33,-0.32,0.25,0.07,-0.10,-0.13,-0.08,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.83,0.86,0.73,2.59,0.07,13.87,-0.06,-0.03,-0.05,-0.12,18.13,
frc6600,14.37,14.06,0.00,4.21,0.63,0.45,0.97,1.14,0.21,1.44,1.24,0.93,2.77,0.21,0.12,0.00,1.75,1.11,1.66,0.29,1.29,4.04,2.96,1.75,1.29,1.51,2.06,0.16,0.45,0.05,0.29,-0.00,0.36,-0.10,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.80,1.24,0.28,4.21,-0.04,8.86,-0.03,0.15,-0.03,0.16,14.37,
frc6561,9.54,10.24,0.00,4.51,0.98,1.16,0.65,-0.20,0.75,0.38,0.57,0.32,0.23,-0.73,-0.35,0.00,0.43,0.29,1.84,-0.27,1.50,2.50,-2.05,1.60,1.71,1.58,0.79,0.07,-0.27,0.05,-0.04,0.15,-0.10,-0.05,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.56,0.21,4.51,0.06,3.53,0.11,0.01,-0.07,-0.00,9.54,
frc4983,11.95,17.29,0.00,3.93,1.12,1.09,1.24,0.21,1.42,1.15,1.10,0.67,3.77,-0.30,-0.11,0.00,0.77,1.67,-0.04,-0.17,0.86,2.50,1.69,1.56,1.78,1.73,0.90,0.41,0.06,-0.20,0.32,-0.10,-0.01,-0.08,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.77,1.70,0.14,3.93,0.06,7.17,-0.04,-0.05,-0.03,0.06,11.95,
frc7790,21.00,8.90,0.00,5.41,1.54,1.48,1.59,1.14,1.50,1.23,0.59,-0.14,4.21,-0.02,-0.04,0.00,3.28,0.72,1.10,-0.27,0.77,5.10,3.91,1.69,1.69,1.79,5.50,0.80,0.13,1.38,0.75,0.87,0.11,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.16,0.83,5.41,0.06,14.82,0.01,-0.01,0.17,-0.01,21.00,
frc7171,11.99,25.51,0.00,3.23,1.25,0.82,1.47,1.62,0.25,1.52,1.56,1.56,4.93,-0.00,0.14,0.00,0.13,0.42,1.82,0.52,-0.45,2.36,0.58,1.53,1.56,1.72,1.92,0.47,0.19,0.06,0.22,-0.01,-0.04,0.04,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.35,1.09,-0.35,3.23,0.05,9.20,0.01,-0.02,-0.03,-0.00,11.99,
frc5247,13.22,14.91,0.00,4.56,1.19,1.36,1.20,0.25,1.00,0.80,1.33,1.32,3.72,0.01,-0.10,0.00,-0.15,-0.82,3.16,0.07,1.78,2.22,1.87,1.38,1.71,1.33,0.94,0.48,-0.32,0.73,-0.46,-0.07,0.10,-0.03,0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.43,0.39,4.56,-0.01,6.88,-0.03,-0.06,-0.03,-0.07,13.22,
frc1322,24.09,13.92,0.00,4.67,1.47,1.48,1.76,1.95,2.13,1.19,1.26,0.84,7.15,-0.77,-0.26,0.00,1.33,4.05,1.92,-0.11,0.76,6.82,13.76,1.31,1.28,1.68,4.69,1.01,0.36,1.65,0.27,0.38,-0.15,0.44,0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.18,1.27,1.80,4.67,-0.02,18.66,-0.07,-0.03,-0.05,-0.05,24.09,
frc6066,18.96,18.42,0.00,5.94,0.28,-0.14,0.63,2.14,2.51,0.02,1.43,0.70,1.62,-0.18,-0.09,0.00,1.81,1.02,3.43,0.85,0.92,6.29,6.03,1.75,1.73,1.75,4.19,0.36,0.46,0.73,0.27,0.13,-0.15,0.05,0.05,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.12,0.81,5.94,0.06,12.11,-0.04,-0.03,-0.08,-0.08,18.96,
frc7855,13.82,14.59,0.00,2.24,1.90,1.56,1.13,0.38,0.46,1.21,1.40,1.41,6.39,2.03,2.52,0.00,1.35,0.66,1.37,-0.09,1.28,3.37,0.26,1.39,1.11,1.69,0.54,0.37,-0.34,0.07,-0.76,0.46,-0.06,0.49,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.74,1.89,0.26,2.24,-0.04,10.31,0.41,-0.04,0.54,-0.05,13.82,
frc6005,15.56,17.15,0.00,5.70,1.64,2.21,2.19,1.60,0.86,1.25,1.26,0.83,7.09,-0.51,-0.48,0.00,1.47,0.46,-0.27,0.47,-0.26,1.75,-3.40,1.87,1.77,1.40,1.28,1.03,-0.59,0.65,-0.66,0.56,-0.13,0.06,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.87,2.55,0.09,5.70,0.07,10.13,-0.07,-0.05,-0.08,-0.05,15.56,
