Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4130,19.84,27.08,0.00,4.26,1.64,1.53,1.69,0.44,0.18,1.86,1.65,1.50,9.20,-0.38,-0.43,0.01,0.49,-0.07,3.25,0.13,0.55,3.68,4.54,1.67,1.72,1.44,2.15,1.42,0.51,1.61,-0.41,1.12,-0.02,0.37,0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.30,0.61,4.26,0.15,15.03,0.09,-0.05,0.19,0.34,19.84,
frc573,28.83,25.42,0.00,3.41,1.67,1.66,0.78,2.69,1.31,1.29,1.97,2.54,10.94,3.12,5.32,-1.23,5.33,0.99,3.39,-0.02,1.64,9.71,17.37,1.67,1.43,1.45,3.13,1.74,0.48,0.77,-0.07,0.41,-0.03,0.27,-0.96,0.67,0.67,0.67,0.67,0.67,0.67,1.46,0.94,3.41,-0.08,23.78,0.59,-0.08,0.69,-0.43,28.83,
frc7211,22.08,20.32,0.00,4.67,1.33,1.30,1.13,1.41,1.86,0.65,1.32,1.13,6.13,-4.18,-3.17,-1.39,1.23,3.83,-0.13,0.12,0.82,4.92,4.58,1.67,1.73,1.67,5.54,0.98,1.75,1.26,0.62,-0.46,0.61,-0.17,0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.70,0.87,4.67,-0.01,16.59,-0.64,0.92,-0.26,0.44,22.08,
frc7769,16.65,20.86,0.00,5.52,1.18,2.27,2.51,0.93,0.41,1.86,1.52,1.42,5.84,0.04,2.36,-2.99,3.59,1.36,-0.20,0.13,0.88,4.75,8.29,1.67,1.80,1.69,-0.35,0.52,0.24,-0.00,-0.37,0.24,-0.91,0.08,-0.83,0.67,0.67,0.67,0.67,0.67,0.67,1.48,0.44,5.52,-0.06,10.25,-0.12,-0.40,-0.11,-0.87,16.65,
frc4004,23.40,29.74,0.00,4.34,1.58,1.90,2.21,0.68,1.54,1.66,1.83,1.27,13.58,6.08,0.79,6.23,0.21,-1.01,2.34,0.24,0.24,1.54,-0.62,1.67,1.69,1.71,3.70,-1.30,2.60,0.17,1.02,0.26,2.12,0.62,1.43,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.31,4.34,-0.06,18.82,-0.19,1.00,-0.19,1.13,23.40,
frc4381,22.59,24.25,0.00,3.95,0.69,0.42,1.07,0.39,0.00,1.43,1.79,1.05,5.37,-0.10,-2.22,2.13,2.02,2.59,1.93,-0.14,3.49,6.54,9.67,1.67,1.82,1.67,3.24,0.92,0.22,1.48,0.37,0.69,0.36,0.58,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.38,0.48,3.95,-0.02,15.15,-0.11,0.59,-0.48,0.94,22.59,
frc3602,17.44,29.67,0.00,4.02,1.21,0.93,1.58,-0.23,0.40,1.81,1.35,1.17,7.14,-2.54,-3.86,1.73,0.35,1.07,1.19,0.04,0.42,2.61,5.48,1.67,1.44,1.72,3.25,-0.48,2.07,0.71,1.84,-0.61,0.50,-0.68,1.09,0.67,0.67,0.67,0.67,0.67,0.67,1.32,-0.28,4.02,0.11,13.01,-0.10,0.94,-0.24,0.96,17.44,
frc6020,17.15,23.77,0.00,4.53,1.72,1.56,1.52,1.34,0.40,2.18,1.88,1.83,8.04,-5.43,-0.19,-4.08,1.67,3.96,-1.62,0.12,-0.67,4.02,5.92,1.67,1.80,1.70,1.22,0.49,1.67,0.60,0.18,0.08,-0.28,-0.98,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.49,-0.23,4.53,0.07,13.28,-0.03,-0.73,-0.11,-0.13,17.15,
frc67,31.33,20.43,0.00,5.23,1.58,1.51,2.05,1.50,0.00,1.61,1.69,1.30,13.14,4.38,3.94,-5.02,3.06,-0.20,2.51,-0.21,1.13,5.36,9.76,1.67,1.60,1.65,6.47,1.35,1.20,2.53,1.92,1.33,0.60,1.57,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.79,5.23,-0.04,24.97,0.95,0.11,0.97,-0.57,31.33,
frc3770,22.49,31.26,0.00,5.36,1.12,1.52,1.29,0.90,0.29,0.91,0.90,1.48,7.79,4.11,-3.12,8.85,0.11,2.11,1.06,0.30,-0.74,3.27,6.63,1.67,1.63,1.66,6.81,0.37,1.38,1.03,1.75,-0.53,1.88,-0.57,1.92,0.67,0.67,0.67,0.67,0.67,0.67,0.94,0.26,5.36,-0.02,17.87,-0.67,1.49,-0.48,1.83,22.49,
frc2048,23.14,21.40,0.00,5.37,1.51,1.70,1.55,1.27,0.60,1.95,1.12,0.65,7.75,2.61,3.96,1.76,1.87,2.43,2.95,-0.34,-0.05,7.25,9.51,1.67,1.75,1.65,2.82,2.35,-0.94,2.28,-0.43,0.55,-0.69,0.51,-0.58,0.67,0.67,0.67,0.67,0.67,0.67,2.11,0.54,5.37,0.06,17.82,0.53,-0.09,0.88,-0.10,23.14,
frc3357,32.31,31.22,0.00,4.63,0.73,0.41,0.88,0.32,-0.28,0.99,0.93,1.18,12.58,13.08,11.78,5.27,1.59,3.01,1.20,-0.36,0.12,5.81,11.46,1.67,1.62,1.70,9.18,2.21,1.48,1.61,1.99,2.04,0.97,2.08,1.38,0.67,0.67,0.67,0.67,0.67,0.67,2.36,1.39,4.63,0.21,27.56,2.48,0.89,2.04,1.16,32.31,
frc6090,25.87,20.45,0.00,5.70,1.08,1.66,0.84,0.85,0.42,2.20,2.37,2.39,9.67,2.07,-0.74,0.41,6.07,1.35,-1.13,0.22,1.21,6.29,6.04,1.67,1.80,1.67,3.00,0.52,1.36,0.04,0.63,-0.19,0.65,-0.72,0.85,0.67,0.67,0.67,0.67,0.67,0.67,1.52,0.92,5.70,0.08,18.96,0.57,0.64,-0.19,0.78,25.87,
frc7809,11.49,28.87,0.00,4.75,1.51,0.80,0.81,1.05,1.23,1.55,1.49,0.78,1.83,-2.12,-4.44,2.68,2.26,0.94,1.63,0.30,-1.49,4.82,6.48,1.67,1.43,1.69,1.58,-1.89,1.88,-1.60,2.45,-1.51,0.73,-0.53,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.84,-0.42,4.75,-0.04,8.24,-1.20,0.12,-0.89,-0.21,11.49,
