Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchlevelrobot1,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3618,10.48,8.81,0.00,3.87,0.82,1.20,1.49,0.79,0.81,2.01,1.65,1.18,4.64,0.00,0.00,0.00,1.52,0.35,0.72,-0.21,-0.63,2.60,3.04,1.86,1.54,1.63,-0.00,-0.43,-0.14,-0.43,-0.01,-0.12,-0.18,-0.05,0.19,1.38,0.56,3.87,-0.01,7.23,0.01,0.07,0.01,0.08,10.48,
frc6090,28.52,8.28,0.00,6.75,1.24,1.99,2.04,1.00,1.14,1.37,1.81,1.22,9.76,0.00,0.00,0.00,2.50,1.83,1.88,-0.06,2.13,6.21,5.25,1.97,1.96,1.82,3.66,0.88,1.48,1.16,1.24,0.30,0.03,-0.12,0.16,1.97,0.96,6.75,-0.01,19.64,0.40,-0.07,0.13,-0.08,28.52,
frc858,5.00,15.12,0.00,2.72,0.76,0.56,1.06,-0.50,-0.42,1.25,0.92,0.40,0.94,0.00,0.00,0.00,-0.32,0.49,2.57,-0.14,-0.73,2.74,-0.36,1.94,1.63,1.48,-0.67,0.73,-0.54,0.16,0.31,-0.08,-0.14,0.03,-0.05,1.19,-0.02,2.72,0.08,3.01,-0.02,-0.05,-0.06,-0.03,5.00,
frc5247,10.78,17.61,0.00,4.39,1.07,0.75,1.03,1.03,1.38,1.06,1.31,0.57,2.72,0.00,0.00,0.00,-0.23,-0.20,2.41,0.12,-0.11,1.98,-0.40,1.82,1.61,1.63,1.80,0.04,-0.15,0.23,-0.28,-0.16,-0.05,-0.17,-0.03,1.44,-0.17,4.39,0.01,6.50,-0.02,0.03,-0.05,0.05,10.78,
frc3572,24.13,14.63,0.00,2.77,1.83,1.36,1.45,1.89,1.28,2.02,1.78,1.36,8.54,0.00,0.00,0.00,3.82,3.37,2.18,-0.09,-0.21,9.37,17.81,1.67,1.05,1.70,3.66,-0.07,0.78,0.21,0.97,0.31,0.47,0.56,0.43,0.46,1.50,2.77,-0.06,21.57,-0.07,-0.12,0.11,-0.12,24.13,
frc2405,24.02,13.08,0.00,4.05,0.75,1.22,1.11,0.83,1.58,1.42,2.40,1.54,8.77,0.00,0.00,0.00,-0.29,2.02,0.31,0.03,3.83,2.05,3.72,1.27,1.44,1.53,5.32,0.26,1.38,1.02,1.45,-0.14,0.65,0.09,0.67,2.05,0.78,4.05,0.07,16.15,0.01,0.54,0.10,0.55,24.02,
frc5860,19.21,13.75,0.00,4.61,1.82,1.69,1.37,1.29,1.60,1.84,1.48,1.32,7.23,0.00,0.00,0.00,2.73,0.70,1.39,0.52,0.70,4.82,7.48,1.11,1.80,1.75,1.85,-0.17,0.48,0.23,0.68,0.06,-0.11,0.10,-0.10,2.11,0.74,4.61,-0.04,13.90,-0.00,-0.06,0.03,-0.03,19.21,
frc6561,11.29,21.68,0.00,3.68,1.89,1.50,1.40,0.09,1.27,1.21,0.83,0.85,4.77,0.00,0.00,0.00,1.55,0.22,-0.13,1.07,0.02,1.65,-2.27,1.72,1.87,1.31,1.19,-0.26,0.33,-0.16,0.03,0.28,0.39,-0.06,0.07,1.59,-0.11,3.68,-0.03,7.60,-0.06,0.38,-0.05,0.40,11.29,
frc6020,22.52,11.38,0.00,3.60,0.57,1.07,1.23,2.29,2.43,1.69,2.01,2.06,7.86,0.00,0.00,0.00,2.86,1.47,3.40,-0.31,0.09,7.73,14.23,1.81,1.64,1.63,3.23,0.13,0.20,0.10,0.95,0.34,0.06,-0.01,0.14,1.59,1.35,3.60,-0.01,18.83,-0.03,-0.06,-0.03,-0.03,22.52,
frc3603,18.81,9.07,0.00,2.78,0.57,0.71,1.24,1.50,2.33,1.49,1.75,1.91,6.72,0.00,0.00,0.00,0.32,3.28,2.79,-0.10,-0.11,6.38,3.04,1.76,1.62,1.69,3.04,0.06,1.09,0.03,0.80,-0.30,0.45,-0.21,-0.06,0.44,0.70,2.78,-0.04,16.14,-0.03,0.09,-0.07,-0.07,18.81,
frc4398,1.58,14.88,0.00,1.26,0.20,0.39,0.71,-0.47,-0.59,0.79,0.27,0.15,-2.63,0.00,0.00,0.00,-0.11,1.30,1.32,0.14,-0.11,2.52,0.55,0.84,1.11,1.63,0.54,-0.17,0.53,-0.20,0.23,-0.29,-0.08,-0.26,-0.12,1.18,-0.46,1.26,0.14,0.43,-0.03,-0.01,-0.09,0.00,1.58,
frc1711,11.69,16.92,0.00,3.02,1.92,1.87,2.00,0.00,0.55,1.31,1.50,1.38,5.61,0.00,0.00,0.00,0.39,1.67,1.30,-0.05,0.76,3.36,5.57,1.35,1.84,1.59,-1.07,-0.02,-0.07,0.27,-0.44,-0.30,-0.20,-0.24,-0.20,1.57,0.24,3.02,0.15,7.90,-0.03,-0.07,-0.08,-0.04,11.69,
frc6128,2.78,13.27,0.00,1.46,-0.02,-0.08,-0.01,0.53,0.01,0.32,0.45,0.02,-2.45,0.00,0.00,0.00,0.52,0.22,1.08,0.70,1.14,1.82,-2.62,0.79,0.95,1.50,0.81,-0.28,0.53,-0.18,0.41,-0.15,0.13,0.05,-0.03,1.21,-0.38,1.46,-0.03,0.18,-0.06,-0.02,-0.00,-0.01,2.78,
frc6005,7.97,14.63,0.00,1.51,0.65,0.80,1.79,-0.50,0.28,1.71,0.61,0.89,2.64,0.00,0.00,0.00,0.63,1.53,1.40,-0.25,0.25,3.56,6.59,1.50,1.29,1.10,0.02,-0.24,-0.07,0.17,-0.07,-0.01,0.27,-0.07,0.28,1.18,0.54,1.51,-0.04,6.21,0.01,0.19,-0.01,0.18,7.97,
frc6074,7.18,9.10,0.00,3.12,0.29,1.43,1.55,-0.46,0.24,1.00,1.31,1.07,1.50,0.00,0.00,0.00,0.51,0.20,1.24,0.05,1.01,1.96,-1.74,1.43,1.35,1.60,-0.41,0.14,-0.50,-0.38,-0.19,-0.28,-0.13,-0.14,-0.15,1.80,0.03,3.12,0.07,3.05,-0.05,0.02,-0.04,0.01,7.18,
frc7160,17.18,11.62,0.00,4.32,1.24,1.68,1.70,0.34,-0.84,1.77,2.13,2.48,7.41,0.00,0.00,0.00,-0.01,2.11,0.65,0.31,0.60,2.75,0.75,1.68,1.44,1.35,2.11,0.49,0.33,1.06,0.74,0.13,-0.21,0.01,0.11,1.39,0.65,4.32,-0.02,12.27,-0.07,0.08,-0.07,0.07,17.18,
frc7790,7.48,13.65,0.00,2.70,0.67,0.61,0.48,1.42,0.38,0.68,0.64,-0.00,-0.60,0.00,0.00,0.00,1.67,0.13,0.17,-0.01,-0.15,1.97,-0.56,1.59,1.64,1.53,3.56,0.40,0.31,0.29,-0.10,0.63,0.24,0.25,-0.12,1.32,0.03,2.70,0.04,4.93,-0.04,0.12,0.12,-0.05,7.48,
frc5114,18.58,15.49,0.00,5.92,1.90,2.18,1.96,0.33,-0.53,1.93,1.57,1.28,7.89,0.00,0.00,0.00,0.34,0.98,2.17,0.39,-0.24,3.49,1.51,1.13,1.85,1.69,1.51,1.00,0.62,0.20,0.26,0.57,0.22,0.43,-0.15,2.31,0.64,5.92,-0.04,12.89,-0.02,-0.09,0.11,-0.08,18.58,
frc4967,15.31,14.57,0.00,1.72,0.61,0.44,1.00,0.10,1.10,1.24,1.24,0.65,4.39,0.00,0.00,0.00,1.33,3.63,1.72,0.17,0.18,6.68,12.64,1.22,1.75,1.66,2.35,0.30,0.84,0.07,0.62,0.37,0.46,0.45,0.64,1.26,0.73,1.72,0.06,13.41,-0.03,-0.03,0.11,-0.00,15.31,
frc6122,9.68,14.92,0.00,3.48,1.92,1.96,1.75,0.23,-0.92,0.80,0.99,1.11,3.02,0.00,0.00,0.00,0.66,0.00,0.98,0.46,2.40,1.65,-2.52,2.04,1.73,1.17,-0.87,-0.20,-0.22,-0.24,-0.36,0.07,0.07,-0.25,-0.09,1.04,-0.05,3.48,0.08,3.80,0.00,-0.10,-0.08,-0.09,9.68,
frc7810,11.24,18.18,0.00,4.21,0.70,0.64,0.74,1.62,-0.01,1.34,0.21,0.40,0.87,0.00,0.00,0.00,1.45,1.89,0.22,0.46,-0.35,3.56,1.62,1.27,1.47,1.39,2.93,0.69,0.42,0.37,0.29,-0.01,-0.03,0.01,-0.02,1.99,0.15,4.21,-0.03,7.37,-0.04,-0.03,-0.05,-0.01,11.24,
frc7855,10.23,17.76,0.00,4.34,0.45,0.85,0.86,-0.33,-0.22,2.28,1.58,0.64,2.71,0.00,0.00,0.00,-0.10,2.22,0.42,0.05,0.39,2.54,1.98,1.99,1.92,1.79,0.24,0.41,-0.21,0.39,-0.51,0.57,-0.08,-0.03,-0.04,1.14,-0.04,4.34,0.16,5.50,0.41,-0.05,0.28,-0.03,10.23,
frc3767,20.26,15.53,0.00,3.76,0.60,1.02,1.45,1.31,2.06,1.39,1.71,1.84,9.08,0.00,0.00,0.00,2.26,-1.04,-0.02,0.33,1.83,1.20,0.78,1.83,1.87,1.50,4.39,1.86,0.57,1.33,0.28,1.31,0.09,0.47,-0.03,1.34,0.63,3.76,0.04,14.67,0.41,0.00,0.29,0.00,20.26,
frc4956,19.11,11.75,0.00,3.27,1.36,1.67,1.37,1.39,3.30,2.11,1.73,1.25,8.90,0.00,0.00,0.00,1.45,0.09,2.18,-0.04,-0.55,3.73,-0.34,1.44,1.90,1.81,3.76,0.44,0.00,0.53,0.12,0.85,-0.13,0.98,-0.11,1.18,0.44,3.27,0.03,16.39,-0.04,-0.07,0.31,-0.06,19.11,
frc7794,8.84,15.09,0.00,2.93,1.02,1.14,1.07,-0.21,0.93,1.23,1.46,1.72,3.48,0.00,0.00,0.00,0.72,0.07,0.88,-0.19,1.34,1.67,-1.11,0.68,1.38,1.71,-0.58,-0.30,-0.31,-0.26,-0.13,-0.35,-0.09,-0.15,-0.07,1.46,0.28,2.93,-0.03,4.57,-0.06,-0.05,-0.05,-0.05,8.84,
frc6094,14.54,12.56,0.00,4.70,1.55,1.94,2.36,-0.29,-0.26,1.86,1.76,1.00,5.33,0.00,0.00,0.00,2.70,0.07,-0.07,-0.22,2.06,2.70,-1.39,1.40,1.48,1.81,-0.25,-0.27,-0.33,-0.41,0.10,0.44,-0.11,0.29,-0.13,2.19,0.47,4.70,-0.05,7.78,0.00,-0.05,-0.03,-0.05,14.54,
frc4004,18.50,5.94,0.00,3.41,0.77,0.86,1.39,1.88,1.54,1.35,1.55,2.00,8.88,0.00,0.00,0.00,0.56,0.50,0.39,0.03,1.15,1.46,-0.60,1.79,1.88,1.83,3.60,1.88,0.25,1.37,-0.25,0.13,0.08,0.27,0.28,1.25,1.01,3.41,-0.02,13.94,-0.02,0.58,0.11,0.59,18.50,
