Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7813,9.47,16.65,0.00,4.11,0.66,0.74,0.37,0.83,1.75,-0.01,0.59,0.97,1.51,-0.84,-0.43,-0.41,0.05,-0.98,2.37,0.10,1.29,1.65,1.17,2.45,0.31,-0.03,-0.31,-0.02,0.24,0.15,0.12,0.29,1.11,2.52,0.02,4.11,-0.06,6.33,0.01,0.24,-0.27,0.29,9.47,
frc6093,15.11,17.50,0.00,5.02,0.50,0.79,0.70,0.57,0.62,0.18,0.49,0.47,2.59,0.07,0.11,-0.03,0.17,1.81,2.24,1.29,1.01,1.73,1.68,3.45,0.42,0.58,0.45,-0.16,0.40,0.64,0.23,0.37,1.38,2.13,0.17,5.02,0.10,8.28,-0.05,0.31,0.02,0.50,15.11,
frc5238,13.02,14.84,0.00,3.33,1.36,1.88,2.21,0.89,0.61,1.45,2.20,1.91,6.49,-0.09,0.05,-0.13,0.11,0.33,3.37,-1.23,2.08,1.45,1.54,-0.50,0.21,-0.13,-0.12,-0.41,0.06,-0.26,-0.12,-0.28,0.85,1.67,0.31,3.33,0.01,9.36,-0.06,-0.34,-0.00,-0.40,13.02,
frc5662,5.89,13.94,0.00,3.97,0.32,0.48,0.84,0.60,-0.64,0.58,0.82,0.75,-1.67,-0.53,-0.23,-0.30,0.07,0.41,2.77,3.63,1.33,1.54,1.52,0.40,-0.17,-0.33,-0.19,-0.37,-0.35,0.08,-0.18,-0.50,1.92,1.05,0.14,3.97,0.25,1.51,-0.07,0.03,0.03,-0.17,5.89,
frc5048,24.46,18.64,0.00,7.10,0.23,0.94,1.33,1.11,1.51,0.36,0.36,0.08,5.12,2.26,2.51,-0.25,0.51,1.53,2.39,2.65,2.04,1.86,1.73,8.32,1.87,0.13,1.80,0.44,1.64,0.44,1.08,0.32,2.37,1.92,0.64,7.10,0.05,15.83,0.60,0.51,0.77,0.15,24.46,
frc322,2.73,19.41,0.00,0.34,0.62,0.63,0.95,0.41,-0.59,0.39,0.75,0.85,-0.36,-0.21,-0.18,-0.03,0.00,1.80,0.98,-4.27,1.23,1.10,0.91,-0.04,-0.08,0.17,0.18,-0.01,0.44,-0.29,0.40,-0.39,1.57,1.95,-0.08,0.34,0.05,0.58,0.38,-0.31,0.30,-0.41,2.73,
frc5517,9.30,22.36,0.00,4.24,1.28,1.41,1.31,1.12,1.26,0.90,0.56,0.84,2.13,-0.88,-0.15,-0.73,0.30,1.21,1.55,1.30,1.77,1.77,1.83,0.16,0.04,-0.43,-0.11,-0.06,-0.10,-0.61,-0.18,-0.38,1.42,1.03,-0.16,4.24,0.27,3.84,-0.17,-0.47,-0.17,-0.27,9.30,
frc314,24.67,15.41,0.00,6.26,2.44,2.31,2.30,1.87,1.41,2.15,2.04,2.59,13.13,0.15,0.06,0.08,-0.20,0.25,2.12,-3.58,1.97,1.58,1.45,2.92,-0.09,1.54,0.42,1.28,-0.05,0.10,-0.02,0.13,1.87,1.80,1.10,6.26,-0.00,18.16,-0.03,0.30,-0.03,0.26,24.67,
frc2619,18.49,15.11,0.00,4.78,1.37,1.85,1.39,0.77,1.27,1.92,1.46,1.19,6.88,-0.67,-0.47,-0.20,0.57,1.68,3.00,-0.52,2.07,1.40,1.69,2.14,1.02,0.33,0.92,0.29,0.31,-0.33,0.17,-0.27,2.06,2.19,0.23,4.78,0.02,12.02,0.37,-0.30,0.25,-0.29,18.49,
frc6631,8.34,15.96,0.00,2.27,0.88,0.41,-0.23,0.17,0.65,1.07,0.82,0.39,-0.19,-0.14,-0.21,0.07,0.54,1.03,4.36,3.72,1.29,1.37,1.55,0.87,-0.45,0.44,-0.31,-0.25,0.02,-0.26,-0.14,-0.25,1.67,0.51,0.38,2.27,0.18,5.04,0.00,-0.15,-0.00,-0.12,8.34,
frc6073,15.74,20.81,0.00,3.74,1.39,0.58,2.23,2.73,1.32,1.10,1.50,0.77,6.34,-1.11,-0.19,-0.92,0.22,-0.83,4.01,1.21,1.72,1.82,1.71,2.49,0.39,-0.18,0.99,-0.32,-0.14,0.19,-0.08,0.26,1.36,0.88,-0.39,3.74,-0.00,12.83,-0.09,-0.00,0.05,0.13,15.74,
frc4961,26.35,5.58,0.00,4.09,1.90,1.86,2.51,1.59,2.35,2.20,2.36,2.51,12.51,-0.77,-0.21,-0.56,0.28,4.56,2.87,-2.71,1.43,1.67,1.74,2.33,0.21,0.67,-0.05,0.39,0.18,0.34,-0.15,0.21,1.86,0.94,0.59,4.09,0.01,17.71,0.31,0.09,-0.11,0.11,26.35,
frc1684,25.59,18.12,0.00,3.82,1.38,1.18,1.00,-0.45,0.61,0.92,0.50,0.69,6.95,2.07,-0.22,2.29,0.25,-1.07,8.46,16.96,1.73,1.62,2.00,7.43,-0.47,0.98,-0.33,1.33,0.10,2.30,-0.03,2.69,1.69,1.03,1.28,3.82,-0.12,22.84,0.39,2.90,0.34,2.67,25.59,
frc7192,13.06,14.29,0.00,5.04,0.78,0.33,1.00,1.31,0.88,1.51,1.06,0.82,2.58,-0.52,0.07,-0.59,-0.14,0.04,3.21,3.52,1.92,1.76,1.35,2.19,0.29,0.22,0.17,-0.09,-0.23,-0.06,0.29,-0.01,0.88,2.10,0.24,5.04,-0.08,7.98,-0.08,0.10,0.09,0.30,13.06,
frc1243,16.83,20.00,0.00,3.43,0.71,0.68,1.13,1.32,1.56,0.48,0.23,0.79,1.46,-0.42,-0.25,-0.17,0.16,4.28,5.03,9.42,1.16,1.40,1.93,2.63,-0.02,-0.07,-0.00,0.08,-0.20,0.03,-0.18,0.00,1.15,1.73,0.61,3.43,-0.04,9.12,-0.09,0.18,-0.09,0.11,16.83,
frc6877,11.76,16.56,0.00,5.39,0.95,0.84,0.88,-1.41,-0.04,0.93,1.12,1.18,2.21,2.22,0.03,2.19,0.37,-0.30,4.83,2.42,1.58,1.68,1.49,-0.37,-0.02,0.02,-0.41,0.01,0.01,0.42,-0.21,0.48,1.94,1.52,0.08,5.39,-0.08,6.67,-0.06,0.29,-0.14,0.28,11.76,
frc7817,12.61,17.73,0.00,4.81,0.86,1.35,0.80,1.05,-0.03,0.77,0.73,-0.16,1.07,0.00,0.15,-0.14,-0.00,3.06,2.38,1.85,1.77,0.87,1.85,1.29,0.31,-0.41,0.25,-0.39,-0.10,0.10,-0.15,0.18,1.87,1.82,0.22,4.81,0.04,4.74,-0.24,0.20,-0.04,0.04,12.61,
frc5712,28.14,15.13,0.00,3.76,0.47,0.48,0.34,1.15,2.09,1.16,0.53,0.73,2.71,-0.67,-0.37,-0.30,-0.27,1.35,12.74,19.53,1.27,1.54,1.63,7.58,0.06,0.49,0.31,0.64,0.85,0.65,0.53,0.29,1.14,2.18,1.41,3.76,-0.12,23.03,0.27,0.90,0.50,1.08,28.14,
frc6538,19.58,22.82,0.00,2.61,0.52,0.59,0.81,0.07,0.10,1.60,1.56,0.84,5.48,2.10,-0.19,2.29,-0.24,3.28,3.43,6.67,1.63,1.66,1.74,4.78,1.18,1.86,1.27,1.86,0.03,0.50,-0.23,0.69,0.83,1.28,0.60,2.61,-0.06,13.69,-0.04,0.37,-0.16,0.31,19.58,
frc5046,15.98,17.16,0.00,4.85,0.94,1.41,0.91,0.84,1.80,0.88,1.61,1.49,6.68,-0.62,-0.09,-0.53,0.25,-1.74,2.72,0.80,1.53,1.76,1.49,3.48,0.38,1.05,0.40,0.76,0.37,0.44,-0.10,0.10,2.43,2.20,0.27,4.85,0.03,12.87,0.35,0.09,0.30,-0.17,15.98,
frc6638,7.84,18.75,0.00,2.21,0.84,0.78,1.57,0.96,0.14,0.98,0.86,1.25,2.13,-0.15,0.01,-0.17,-0.06,1.77,0.90,-0.23,0.23,1.77,0.95,0.82,0.29,-0.24,0.29,-0.26,-0.25,0.39,-0.18,-0.08,2.25,0.82,-0.14,2.21,0.28,3.85,-0.08,-0.04,-0.16,0.08,7.84,
frc5509,12.74,15.62,0.00,2.39,1.55,2.31,1.83,-0.22,0.46,2.00,2.17,1.56,7.87,-0.48,-0.19,-0.29,0.30,-0.64,2.83,1.19,0.99,1.54,1.37,0.30,0.17,0.20,0.21,0.55,-0.03,0.05,-0.06,0.11,1.41,1.00,0.14,2.39,-0.06,10.99,-0.09,0.03,-0.10,-0.02,12.74,
frc5524,10.69,19.98,0.00,4.74,0.38,0.38,0.88,1.89,0.52,0.70,0.98,0.62,0.52,-0.47,-0.14,-0.33,0.93,-1.01,4.01,2.86,1.23,1.79,1.84,2.44,0.52,0.01,-0.03,0.04,-0.15,-0.29,0.30,-0.06,1.09,1.75,0.42,4.74,0.39,6.97,-0.14,-0.03,-0.01,-0.05,10.69,
frc5660,17.70,19.84,0.00,4.53,0.91,1.78,1.81,0.85,0.42,2.25,1.11,1.06,7.15,0.43,0.24,0.19,0.50,1.83,3.50,2.48,1.53,1.66,1.62,0.69,0.35,-0.26,0.23,0.39,0.31,0.11,0.29,0.39,1.36,2.00,0.26,4.53,-0.15,11.34,-0.02,-0.18,-0.09,0.04,17.70,
frc3534,20.40,9.08,0.00,4.43,1.63,1.37,1.54,0.94,1.97,1.60,1.66,1.77,10.42,-0.77,-0.42,-0.35,-0.37,-0.56,2.55,1.66,1.81,1.52,1.77,3.56,1.87,0.59,1.40,0.66,0.47,-0.13,0.97,-0.13,1.56,1.39,0.84,4.43,0.11,16.54,-0.22,-0.06,-0.11,0.16,20.40,
frc4998,6.75,15.82,0.00,3.19,1.17,0.38,1.09,0.12,0.92,0.90,0.86,1.09,1.32,-1.06,-0.19,-0.87,0.15,-1.59,2.54,-0.01,1.78,1.59,0.93,1.29,0.26,-0.70,0.08,-0.15,0.05,0.35,-0.03,0.55,1.42,0.83,0.19,3.19,0.19,5.16,-0.15,0.00,-0.00,0.10,6.75,
frc894,10.82,21.96,0.00,3.07,1.91,1.42,1.35,0.25,0.00,0.70,1.19,1.01,4.98,-0.02,-0.13,0.11,0.34,0.23,2.18,1.71,1.74,1.23,1.91,0.37,0.27,0.59,0.36,0.61,0.32,-0.27,0.27,-0.44,0.44,1.48,-0.09,3.07,0.22,7.53,0.54,-0.23,0.01,-0.33,10.82,
frc7660,18.83,12.53,0.00,4.31,-0.22,0.52,0.72,1.12,2.29,0.90,0.47,0.32,3.55,-0.81,-0.45,-0.36,0.26,0.22,0.71,-1.76,1.81,1.79,1.83,10.03,1.25,1.48,1.71,2.43,-0.22,-0.06,0.14,0.19,1.49,0.98,0.44,4.31,0.09,14.29,-0.10,0.05,0.00,-0.16,18.83,
frc6085,13.88,18.11,0.00,4.63,0.59,0.99,0.74,1.24,1.30,0.32,0.23,0.47,3.36,-0.14,-0.11,-0.03,1.11,2.24,0.46,-0.03,1.57,1.80,0.97,3.20,0.32,1.01,0.25,0.91,0.02,-0.13,-0.07,-0.12,1.23,2.23,0.19,4.63,-0.12,7.02,-0.17,-0.19,0.01,-0.17,13.88,
