Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7800,10.53,14.31,0.00,5.16,1.46,1.48,1.53,-0.28,0.18,0.62,0.90,0.56,2.17,-2.33,-0.95,-0.75,0.65,0.93,1.89,0.36,-0.53,3.65,3.53,1.66,1.56,1.88,0.07,-0.30,0.16,0.16,0.60,-0.50,0.02,-0.22,0.01,0.67,0.67,0.67,1.61,0.43,5.16,0.19,5.90,0.31,-0.10,0.10,-0.10,10.53,
frc1241,32.74,12.52,0.00,5.57,0.84,1.59,1.42,0.64,1.36,1.78,1.44,1.57,14.81,7.26,1.46,6.45,0.42,-0.00,2.45,0.62,1.13,2.95,3.58,1.63,1.58,1.91,8.28,1.69,1.31,1.30,1.33,1.02,1.74,0.88,1.39,0.67,0.67,0.67,2.00,1.31,5.57,-0.07,26.04,1.35,1.37,1.39,1.43,32.74,
frc7722,12.22,21.12,0.00,5.33,0.76,1.54,1.60,0.14,0.58,2.10,1.70,1.31,4.83,-2.28,-0.51,-0.92,-0.36,1.12,2.08,1.36,-1.02,2.90,2.99,1.26,1.88,1.89,0.20,-0.64,-0.01,-0.17,0.28,-0.32,-0.15,-0.22,-0.07,0.67,0.67,0.67,1.28,0.03,5.33,0.01,7.92,0.09,0.24,0.11,0.22,12.22,
frc6992,15.91,9.94,0.00,4.52,2.44,2.17,1.59,0.29,1.49,2.01,1.43,1.88,8.06,0.99,-0.25,-0.89,0.95,0.32,0.05,-0.12,1.04,1.39,-2.13,1.90,1.15,1.69,0.90,0.50,0.16,0.46,-0.02,0.04,-0.19,-0.10,-0.23,0.67,0.67,0.67,1.06,0.53,4.52,0.03,10.35,-0.06,-0.24,-0.21,-0.08,15.91,
frc4917,16.09,15.29,0.00,3.16,0.98,0.49,0.84,0.38,0.76,0.57,0.30,0.06,1.14,0.07,2.08,-1.39,3.34,1.35,3.06,-0.16,0.45,7.70,13.53,1.73,1.79,1.86,3.65,1.04,1.12,0.58,0.66,0.98,-0.25,0.49,0.19,0.67,0.67,0.67,0.96,0.54,3.16,0.00,12.48,0.03,-0.27,0.05,-0.25,16.09,
frc2702,19.84,16.21,0.00,3.85,1.02,1.25,1.81,1.20,0.48,1.12,0.79,0.65,7.82,2.29,0.08,0.33,0.14,1.13,1.24,0.37,-0.93,2.61,0.28,1.73,1.46,1.98,6.50,0.80,0.72,0.59,0.64,0.49,1.06,0.71,1.30,0.67,0.67,0.67,1.34,0.64,3.85,0.09,16.93,1.33,0.62,1.18,0.81,19.84,
frc4678,23.77,13.99,0.00,5.89,1.87,1.86,0.23,-0.46,-0.64,1.84,2.04,1.37,6.77,3.05,1.63,-0.75,4.20,1.11,1.76,0.27,2.47,7.26,12.56,1.82,1.84,1.81,1.39,0.62,0.26,0.57,-0.18,0.62,0.22,1.00,-0.04,0.67,0.67,0.67,2.00,1.25,5.89,-0.00,15.42,0.09,-0.30,0.32,-0.26,23.77,
frc3756,12.72,20.88,0.00,4.96,0.48,1.21,0.64,0.61,0.09,0.74,0.73,0.76,2.37,4.09,-2.22,6.77,0.86,0.24,-0.41,-0.26,1.09,0.69,-3.45,1.58,1.44,1.76,3.61,-0.61,1.42,-0.34,1.38,-0.33,1.07,-0.56,1.01,0.67,0.67,0.67,1.71,0.32,4.96,0.20,6.67,-0.22,0.97,-0.18,0.96,12.72,
frc4617,8.38,14.06,0.00,4.50,0.67,0.14,0.68,1.22,-0.11,1.36,1.21,0.70,0.77,0.13,1.58,-1.03,0.30,-0.79,2.94,0.53,-0.05,2.53,2.82,1.62,1.21,1.51,0.63,0.35,-0.74,0.12,-0.81,0.46,-0.34,0.64,-0.44,0.67,0.67,0.67,2.10,-0.01,4.50,0.03,3.93,0.17,-0.31,0.21,-0.26,8.38,
frc4968,15.89,18.23,0.00,4.58,1.31,1.60,1.92,-0.11,0.14,1.32,1.22,1.66,5.49,1.43,1.23,0.83,1.09,2.79,0.54,-0.12,0.61,4.57,5.94,1.89,1.72,1.40,0.64,-0.13,-0.28,0.69,-0.35,0.17,-0.07,0.23,0.06,0.67,0.67,0.67,1.25,0.27,4.58,-0.05,10.70,0.55,0.01,0.36,-0.02,15.89,
frc7664,22.18,13.39,0.00,2.87,1.94,2.32,1.90,1.01,1.91,2.27,2.19,2.76,11.07,-1.31,-1.40,0.72,1.75,0.41,1.77,0.47,2.01,3.92,2.55,1.84,1.49,1.39,2.32,-0.17,0.24,0.08,0.95,-0.32,0.03,-0.19,0.20,0.67,0.67,0.67,1.66,0.91,2.87,0.04,17.31,-0.46,0.45,-0.07,0.45,22.18,
frc6856,5.83,20.30,0.00,3.35,1.45,1.44,1.20,-0.45,0.06,1.41,1.08,0.21,2.34,-0.04,-1.16,1.76,0.20,-0.12,-0.47,0.66,0.39,-0.27,-0.51,1.84,1.84,1.44,0.03,0.67,-0.01,0.10,0.34,-0.38,-0.14,-0.34,-0.19,0.67,0.67,0.67,1.00,-0.12,3.35,-0.06,2.10,0.25,0.01,0.24,0.04,5.83,
frc3739,14.08,16.94,0.00,5.00,1.45,1.86,1.65,1.00,0.90,1.51,1.68,1.12,5.22,1.03,0.36,-1.30,1.97,-0.09,0.01,0.42,1.24,1.74,-3.62,1.84,1.43,1.59,0.88,1.12,-0.55,0.09,-0.63,-0.10,-0.40,-0.21,-0.20,0.67,0.67,0.67,2.02,-0.08,5.00,-0.06,7.84,0.28,-0.33,0.30,-0.29,14.08,
frc3161,4.78,18.11,0.00,2.63,1.25,0.96,1.63,0.44,-1.12,0.34,0.94,0.74,1.28,-2.21,-1.10,0.04,-0.12,1.00,0.66,0.18,-0.29,1.64,-3.63,1.35,1.63,1.87,-0.48,-0.40,-0.29,-0.52,-0.33,-0.00,0.34,-0.28,0.27,0.67,0.67,0.67,1.58,-0.28,2.63,-0.06,2.44,-0.43,0.22,-0.41,0.25,4.78,
frc772,16.32,15.82,0.00,3.57,0.52,1.63,1.72,1.04,0.16,1.07,1.48,2.29,6.83,-1.01,1.02,-1.44,2.13,1.37,0.62,0.39,0.21,4.15,5.50,1.76,1.09,1.73,1.57,-0.18,0.50,-0.28,0.65,0.35,0.54,0.51,0.46,0.67,0.67,0.67,1.58,0.68,3.57,0.13,12.55,0.12,0.05,-0.03,-0.21,16.32,
frc2609,17.90,13.38,0.00,5.40,0.63,0.92,0.04,2.31,1.83,0.64,0.91,1.09,2.87,0.31,1.96,-1.02,2.53,0.70,1.55,-0.06,0.61,4.34,0.27,1.08,1.88,1.42,4.68,0.73,0.76,1.15,0.75,-0.00,-0.34,0.01,-0.51,0.67,0.67,0.67,2.00,0.36,5.40,0.10,11.89,-0.10,-0.32,-0.02,-0.30,17.90,
frc7475,8.47,22.85,0.00,2.22,0.57,0.74,1.04,-0.12,-0.92,1.52,1.43,0.90,1.39,0.96,0.19,-0.89,0.84,0.89,1.67,1.40,0.92,3.24,4.47,1.76,0.76,1.34,0.71,0.07,0.04,0.01,-0.48,-0.13,0.44,-0.03,0.50,0.67,0.67,0.67,1.15,0.07,2.22,0.10,5.33,-0.30,0.43,-0.26,0.44,8.47,
frc5039,23.89,13.84,0.00,4.30,2.80,2.41,2.60,2.05,0.44,2.15,1.66,1.88,11.55,-3.16,-1.96,-0.26,0.65,1.54,-0.84,-0.18,4.16,1.44,-1.16,1.67,1.87,1.45,2.45,1.03,-0.28,0.77,-0.03,0.66,-0.30,0.95,0.02,0.67,0.67,0.67,1.93,0.61,4.30,-0.05,15.43,-0.03,-0.14,-0.02,-0.14,23.89,
frc4814,18.94,12.05,0.00,4.09,0.79,1.04,2.03,0.39,3.10,2.64,2.17,2.09,9.14,-1.09,-1.41,-1.85,0.23,0.43,-0.33,0.03,2.47,0.45,-4.23,1.72,1.30,1.03,2.80,-0.05,0.95,-0.20,1.13,-0.02,-0.11,-0.23,0.04,0.67,0.67,0.67,1.25,0.20,4.09,0.07,12.38,0.15,-0.25,0.19,-0.25,18.94,
frc6875,7.97,18.77,0.00,5.61,0.77,0.73,-0.17,-0.28,0.16,0.28,-0.10,0.06,-1.39,-0.20,1.71,-1.29,0.50,0.80,0.87,0.01,0.81,1.72,0.92,1.43,1.87,1.53,1.21,0.52,-0.29,0.62,-0.60,0.65,-0.48,0.15,-0.45,0.67,0.67,0.67,2.56,0.03,5.61,-0.06,1.54,0.83,-0.28,0.71,-0.24,7.97,
frc5483,18.69,13.07,0.00,3.27,1.52,1.82,1.77,1.17,1.38,1.15,1.19,1.44,7.54,-0.69,-1.74,-0.80,0.88,1.66,0.30,-0.25,2.47,2.63,2.04,1.89,1.28,1.85,2.78,1.11,0.97,0.91,1.17,-0.25,0.07,-0.30,-0.09,0.67,0.67,0.67,1.02,0.73,3.27,-0.06,12.95,-0.14,0.30,-0.31,-0.13,18.69,
frc2056,44.28,10.68,0.00,5.12,0.75,0.77,1.15,0.14,0.40,1.29,0.55,-0.41,16.85,15.85,12.17,6.64,2.78,3.36,3.31,0.02,1.59,9.57,17.23,1.85,1.59,1.88,11.15,2.17,2.43,2.32,1.95,2.59,2.25,2.15,2.24,0.67,0.67,0.67,1.58,2.45,5.12,0.03,37.57,1.98,1.85,2.00,1.63,44.28,
